@RELATION eos
@ATTRIBUTE r1Ucfirst {0, 1}
@ATTRIBUTE r1NewPara {0, 1}
@ATTRIBUTE r1Comma {0, 1}
@ATTRIBUTE r1Period {0, 1}
@ATTRIBUTE l1Title {0, 1}
@ATTRIBUTE l1Abbrev {0, 1}
@ATTRIBUTE lLength numeric
@ATTRIBUTE rLength numeric
@ATTRIBUTE Nspaces numeric
@ATTRIBUTE r1Quote {0, 1}
@ATTRIBUTE r1Semi {0, 1}
@ATTRIBUTE l1Internal {0, 1}
@ATTRIBUTE l1Cap {0, 1}
@ATTRIBUTE class {EOS, NEOS}
@DATA
1,0,0,0,0,0,31,47,1,0,0,0,1,NEOS
0,1,0,0,0,0,93,0,0,0,0,0,0,EOS
1,0,0,0,0,0,19,17,2,0,0,0,0,EOS
1,0,0,0,0,0,49,25,1,0,0,0,0,EOS
1,0,0,0,0,0,63,136,1,0,0,0,1,EOS
1,0,0,0,0,0,20,58,1,0,0,0,0,EOS
1,0,0,0,0,0,210,2,3,0,0,0,0,EOS
0,0,0,0,0,0,22,9,2,1,0,0,0,EOS
1,0,0,0,1,1,21,65,1,0,0,0,1,NEOS
1,0,0,0,0,0,32,79,2,0,0,0,0,EOS
1,0,0,0,0,0,39,4,1,0,0,0,1,EOS
1,0,0,0,0,0,60,41,1,0,0,0,0,EOS
1,0,0,0,0,0,97,88,2,0,0,0,0,EOS
1,0,0,0,0,0,102,11,2,0,0,0,0,EOS
0,0,0,0,0,0,375,19,1,0,0,0,0,EOS
1,0,0,0,0,0,40,43,1,0,0,0,0,EOS
1,0,0,0,0,0,66,35,2,0,0,0,0,EOS
1,0,0,0,0,0,21,52,1,0,0,0,1,NEOS
0,1,0,0,0,0,42,0,0,0,0,0,0,EOS
1,0,0,0,0,0,27,113,2,0,0,0,0,EOS
0,0,0,0,0,0,38,39,1,1,0,0,0,EOS
1,0,0,0,1,1,13,17,1,0,0,0,1,NEOS
0,1,0,0,0,0,19,0,0,0,0,0,0,EOS
1,0,0,0,0,0,20,22,1,0,0,0,0,EOS
1,0,0,0,0,0,19,1,2,0,0,0,0,EOS
1,0,0,0,0,0,47,11,2,0,0,0,0,EOS
0,1,0,0,0,0,26,0,0,0,0,0,0,EOS
1,0,0,0,0,0,32,69,1,0,0,0,0,EOS
1,0,0,0,0,0,55,11,1,0,0,0,0,EOS
1,0,0,0,0,0,47,90,2,0,0,0,0,EOS
0,1,0,0,0,0,62,0,0,0,0,0,0,EOS
1,0,0,0,0,0,27,4,2,0,0,0,1,EOS
